año,periodo,mes,ITAEE,CPTP,CPTE,INPC,PATRON
2004,,enero,,-0.004338922,0.027765416,0.044719445,-0.020293569
2004,,febrero,,-0.003594668,0.026322474,0.04867922,-0.02248993
2004,2004T1,marzo,-0.046971755,0.000949283,0.070687225,0.045259036,-0.020591765
2004,,abril,,0.0013968,0.072517299,0.042741773,-0.019652205
2004,,mayo,,0.008111902,0.063929249,0.041834711,-0.017841035
2004,2004T2,junio,0.04119668,0.008115223,0.089586654,0.043990912,-0.016754833
2004,,julio,,0.009038783,0.091158878,0.045853537,-0.01685923
2004,,agosto,,0.013633909,0.111808673,0.04948497,-0.014432341
2004,2004T3,septiembre,0.041935611,0.011586738,0.134183783,0.05126084,-0.015587141
2004,,octubre,,0.008715255,0.094903704,0.05313735,-0.01704708
2004,,noviembre,,0.013759922,0.105749559,0.052918192,-0.015297645
2004,2004T4,diciembre,0.057398634,0.012208964,0.099938702,0.050140401,-0.019441999
2005,,enero,,0.0135423,0.116920124,0.043233924,-0.016857714
2005,,febrero,,0.014728761,0.14467512,0.039907124,-0.014910393
2005,2005T1,marzo,0.009553179,0.010426245,0.09994813,0.040577571,-0.016026631
2005,,abril,,0.013559928,0.116804351,0.041929127,-0.016009888
2005,,mayo,,0.015899482,0.128449085,0.043391507,-0.015641918
2005,2005T2,junio,0.007261366,0.019723606,0.107308093,0.041705691,-0.013063294
2005,,julio,,0.023568929,0.104627626,0.043256764,-0.012187915
2005,,agosto,,0.034857124,0.104539827,0.039715304,-0.013017683
2005,2005T3,septiembre,0.03137403,0.038411472,0.095194478,0.035682305,-0.011628358
2005,,octubre,,0.040227308,0.092363089,0.030910858,-0.010844051
2005,,noviembre,,0.035878485,0.072166169,0.028504074,-0.012752133
2005,2005T4,diciembre,0.005597054,0.037022542,0.071411297,0.032784833,-0.010782171
2006,,enero,,0.041367216,0.057018624,0.036680692,-0.010280237
2006,,febrero,,0.041642814,0.051267869,0.033749944,-0.009630268
2006,2006T1,marzo,0.057690533,0.044517916,0.065543347,0.0324251,-0.009345061
2006,,abril,,0.042290291,0.032457172,0.031270715,-0.008880995
2006,,mayo,,0.039242907,0.086557419,0.029407877,-0.006874742
2006,2006T2,junio,0.068212593,0.040524662,0.107142509,0.0309481,-0.006735756
2006,,julio,,0.041608047,0.089161944,0.03137186,-0.007257819
2006,,agosto,,0.030989457,0.082657057,0.033412511,-0.0058249
2006,2006T3,septiembre,0.048357574,0.030572013,0.090298284,0.040810801,-0.006245343
2006,,octubre,,0.031470492,0.106751038,0.044229712,-0.00505001
2006,,noviembre,,0.03761255,0.113509608,0.043166032,-0.003909435
2006,2006T4,diciembre,0.032260627,0.037296393,0.099405764,0.042489999,-0.00163742
2007,,enero,,0.039157556,0.092313487,0.040949632,-0.00188765
2007,,febrero,,0.04284016,0.088500189,0.042819403,-0.000633093
2007,2007T1,marzo,0.000496008,0.043940642,0.064457335,0.043172449,-0.000524617
2007,,abril,,0.046705774,0.087594932,0.042758337,0.000623775
2007,,mayo,,0.045489874,0.041547559,0.041143738,-0.000642788
2007,2007T2,junio,0.016286095,0.044496147,0.04857631,0.041621423,-0.000118453
2007,,julio,,0.043491333,0.066953169,0.042450099,0.001679527
