ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,-0.007980698,0.001566222,0.119047619,-0.049528158,0.03066162,0.032748344,-0.008260881
2004,,febrero,,-0.018549128,-0.000116971,3.780612245,-0.068797335,0.036456399,0.03912334,-0.011637086
2004,2004T1,marzo,0.01433704,0.006632277,0.003183118,-0.071381794,-0.079720441,0.03261493,0.03399612,-0.009507631
2004,,abril,,0.010738752,0.005063319,-0.279558011,-0.067733067,0.037874946,0.033605461,-0.009094133
2004,,mayo,,0.008154188,0.007609272,5.942446043,-0.053388012,0.04317823,0.035257,-0.012017341
2004,2004T2,junio,0.052351243,-0.001855288,0.012060451,-0.40397351,-0.031245127,0.043161898,0.033896995,-0.01051538
2004,,julio,,0.303446977,0.016485047,1.669987547,-0.014328961,0.047839116,0.038763205,-0.00418039
2004,,agosto,,0.243151332,0.020639649,1.5087153,-0.0045618,0.050122095,0.041700791,-0.001341602
2004,2004T3,septiembre,0.011940422,0.261408451,0.022835069,1.134272997,0.020294858,0.054260493,0.044926191,-0.0029621
2004,,octubre,,0.263728054,0.019936185,1.174208145,-0.002887197,0.059783971,0.050386485,-0.00491388
2004,,noviembre,,0.276202909,0.020925415,0.643851508,0.0387054,0.061051153,0.048625793,-0.002896636
2004,2004T4,diciembre,0.035608009,0.260111317,0.015239914,5.761772853,0.02459619,0.053825144,0.048172284,-0.003672158
2005,,enero,,0.279139383,0.016391378,12.07978723,0.032316171,0.05183201,0.039398863,-0.00334216
2005,,febrero,,0.287799401,0.017331023,2.081109925,0.043944813,0.051770963,0.035948358,-0.002859793
2005,2005T1,marzo,0.009436506,0.289531479,0.008214542,1.023272214,0.007657,0.055798234,0.040035646,-0.012516958
2005,,abril,,0.272943763,0.011903041,1.457055215,0.021282739,0.056947159,0.043525571,-0.010097911
2005,,mayo,,0.275735294,0.015606064,3.671502591,0.018199117,0.059311582,0.04212396,-0.004182812
2005,2005T2,junio,-0.016136887,0.260037175,0.023876604,3.839316239,-0.003360093,0.055624977,0.039888596,-0.005147115
2005,,julio,,-0.00982659,0.017781004,0.364039179,-0.002559378,0.054958728,0.036527263,-0.014629182
2005,,agosto,,0.036474164,0.014528165,0.143592383,0.038870425,0.052482375,0.034685289,-0.017413566
2005,2005T3,septiembre,0.012600128,0.047193688,0.005520691,0.137990963,0.11213239,0.045084786,0.031247997,-0.016073333
2005,,octubre,,0.041826781,0.012555541,0.056538328,0.144615883,0.03860259,0.025856337,-0.012905361
2005,,noviembre,,0.036972088,0.018536473,0.040931546,0.110013964,0.039090192,0.025446818,-0.011441823
2005,2005T4,diciembre,0.025993436,0.032243816,0.013346778,0.172470299,0.100023919,0.041034162,0.031593544,-0.014486819
2006,,enero,,0.02501097,0.023896729,0.122814152,0.102326548,0.044616423,0.042467534,-0.010318054
2006,,febrero,,0.029351933,0.027287053,0.068236924,0.109234785,0.044685925,0.040727966,-0.008733173
2006,2006T1,marzo,0.050344179,0.016463242,0.037509768,0.144649704,0.137958879,0.04004494,0.03169392,-0.000544352
2006,,abril,,0.003309829,0.035095051,0.033395755,0.119199548,0.039229108,0.033134371,-0.003253964
2006,,mayo,,0.052305476,0.043983973,-0.077861579,0.120961489,0.035951171,0.032814238,-0.000412307
2006,2006T2,junio,0.062274494,0.08010031,0.041848392,-0.139173437,0.192514233,0.036103921,0.035239876,0.005276705
2006,,julio,,0.027583187,0.048047182,-0.025303471,0.191440008,0.03223961,0.035795567,0.010069713
2006,,agosto,,0.00601173,0.050708342,0.089333933,0.152147995,0.035623118,0.038349797,0.014110667
2006,2006T3,septiembre,0.057886158,-0.010378163,0.061094637,0.138668296,0.10637908,0.041823527,0.041487624,0.01718754
2006,,octubre,,0.022840119,0.057887454,0.191070256,0.096730824,0.045947201,0.047124416,0.022692694
2006,,noviembre,,0.041009019,0.059577256,0.112542373,0.063797286,0.040210782,0.042377385,0.022710283
2006,2006T4,diciembre,0.033196307,0.03180716,0.059081948,0.094339623,0.085077784,0.039104449,0.040087854,0.024439019
2007,,enero,,0.044520548,0.053823919,0.192321623,0.075717032,0.043158774,0.038357597,0.025230015
2007,,febrero,,0.006775833,0.050143653,-0.076199741,0.067422961,0.040869222,0.040381311,0.028202789
2007,2007T1,marzo,0.030748556,0.018989109,0.048174002,-0.000609013,0.0463246,0.03795439,0.046010473,0.026194984
2007,,abril,,0.061101549,0.050128535,0.187858653,0.03812359,0.040690811,0.045340642,0.026997616
