año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,PATRON
2004,,enero,,0.032531472,0.038829377,-0.262099309,0.096327296,0.032301352,,0.007904192
2004,,febrero,,0.007138384,0.034435591,-0.276648488,0.117352415,0.033866841,,0.002228235
2004,2004T1,marzo,-0.064535724,0.00746733,0.042161008,-0.223805147,0.063152038,0.032647281,,0.005398111
2004,,abril,,0.004603708,0.046891311,-0.007286996,-0.01717653,0.031176847,,0.014262948
2004,,mayo,,0.004627314,0.042308675,-0.73982808,-0.051749183,0.030058937,,0.010763751
2004,2004T2,junio,-0.046641199,0.005146228,0.041445099,-0.469632164,-0.028472467,0.028292025,,0.00533417
2004,,julio,,-0.067856721,0.043329687,-0.159090909,-0.116042299,0.029616477,,-0.005076539
2004,,agosto,,-0.058684055,0.044792607,-0.002028398,-0.147506735,0.028879519,,-0.009730655
2004,2004T3,septiembre,-0.025830574,-0.056098142,0.043843454,-0.121158911,-0.202105942,0.040971296,,-0.014525226
2004,,octubre,,-0.053349282,0.043098736,-0.066980024,-0.241152808,0.043100319,,-0.022655467
2004,,noviembre,,-0.053930968,0.041283615,-0.336206897,-0.168168008,0.045148548,,-0.024235875
2004,2004T4,diciembre,-0.017726826,-0.05143339,0.040508084,0.704198473,-0.122966622,0.047286886,,-0.026911076
2005,,enero,,-0.046957991,0.03864017,0.742759796,-0.074108201,0.050549937,,-0.01964512
2005,,febrero,,-0.021387714,0.046256198,0.710075394,-0.106564201,0.046861481,,-0.0137367
2005,2005T1,marzo,0.012117601,-0.026559605,0.047364582,0.642391948,-0.118409002,0.050082003,,-0.011685748
2005,,abril,,-0.025266287,0.05034901,0.228684359,-0.092677637,0.057781402,,-0.014690863
2005,,mayo,,-0.025768704,0.05477785,3.464757709,-0.12108253,0.060942468,,-0.017226529
2005,2005T2,junio,0.023052766,-0.023476523,0.063596545,0.835483871,-0.103208653,0.061330302,,-0.01630774
2005,,julio,,0.0065948,0.065139829,0.459459459,-0.074260261,0.060720083,,-0.005494937
2005,,agosto,,0.003274559,0.064929824,0.221544715,0.013156198,0.060090662,,0.001650814
2005,2005T3,septiembre,0.00034432,0.005804416,0.05694004,0.201798202,0.071572852,0.050766653,,-0.001332811
2005,,octubre,,0.005938843,0.058888448,0.215365239,0.060726028,0.057968558,,0.000946148
2005,,noviembre,,-0.001520142,0.059301247,0.515938607,0.084903242,0.045540443,,-0.001028318
2005,2005T4,diciembre,-0.004298048,-0.002031746,0.057119514,-0.397536394,0.074122415,0.040306239,,0.003126253
2006,,enero,,-0.012159595,0.050029784,-0.277614858,0.164344612,0.0436595,,0.010342599
2006,,febrero,,-0.008005083,0.056067679,-0.181563126,0.195039782,0.048096406,,0.007084776
2006,2006T1,marzo,-0.012145371,-0.006725888,0.051764614,-0.197909156,0.308696943,0.042107864,,0.008148917
2006,,abril,,-0.007242694,0.049810904,0.028033088,0.302987698,0.036107218,,0.012119279
