año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,INPC3,PATRON
2004,,enero,,-0.059472617,0.017658218,-0.184923439,-0.0135993,,0.036468525,0.048438178,-0.017737936
2004,,febrero,,-0.06469681,0.025176102,-0.133811231,0.016531658,,0.039982308,0.045546671,-0.01495998
2004,2004T1,marzo,0.055166273,-0.049376681,0.02967993,-0.039589443,0.098968669,,0.037004801,0.040735574,-0.007968507
2004,,abril,,-0.049755302,0.034267735,1.011994003,0.118851541,,0.037686536,0.039698762,-0.0059433
2004,,mayo,,-0.040465769,0.04014062,1.68627451,0.12824884,,0.031029359,0.03536597,-0.003656249
2004,2004T2,junio,0.02807688,-0.036054081,0.044945416,0.40549542,0.145815871,,0.028817717,0.036086065,0.000254737
2004,,julio,,-0.018389239,0.046874654,1.900212314,0.107646822,,0.030293639,0.037096805,-0.000446315
2004,,agosto,,-0.027737351,0.051494911,2.086720867,0.206686425,,0.034269239,0.043831599,0.002304442
2004,2004T3,septiembre,0.056809351,-0.006629929,0.052704447,2.118170267,0.18319628,,0.03877809,0.045260365,0.005214498
2004,,octubre,,-0.002743484,0.049891688,2.395897436,0.146617284,,0.045652529,0.061421124,0.002874481
2004,,noviembre,,0.007392762,0.051922766,3.284394251,0.208292798,,0.047158882,0.064774524,0.005378754
2004,2004T4,diciembre,0.067345069,0.006855772,0.048349639,2.996638655,0.165868844,,0.045950546,0.054184322,0.002509733
2005,,enero,,0.01673568,0.051565869,10.98554913,0.206201196,,0.037135656,0.049538085,0.006472492
2005,,febrero,,0.02846728,0.0496387,12.91034483,0.187455955,,0.034502313,0.05735206,0.006352175
2005,2005T1,marzo,0.05036116,0.034627582,0.044734047,8.928244275,0.096312309,,0.037071395,0.057082286,0.003168203
2005,,abril,,0.038197425,0.045668437,4.257078987,0.091355181,,0.039091878,0.062368391,0.003676823
2005,,mayo,,0.032791118,0.047010729,2.775286757,0.092293973,,0.044893653,0.068076242,0.004371689
2005,2005T2,junio,0.02846852,0.037316017,0.044854085,2.251777251,0.094223418,,0.044221181,0.068470443,0.002546716
2005,,julio,,0.02567216,0.034256478,0.05636896,0.093278331,,0.044019777,0.068198876,0.001307648
2005,,agosto,,0.041031963,0.029585121,0.435030729,0.087294847,,0.039027128,0.054127052,0.002778133
2005,2005T3,septiembre,0.042755977,0.020195891,0.028569651,0.505297474,0.076272315,,0.036280884,0.052689856,0.000127299
2005,,octubre,,0.014099037,0.037201385,0.892479613,0.119794134,,0.030123861,0.042172206,-0.00044586
2005,,noviembre,,0.007850499,0.037201739,0.827462257,0.116592319,,0.02988902,0.029366138,-0.000732437
2005,2005T4,diciembre,0.09054786,0.005106818,0.034880317,0.67746005,0.152346407,,0.035906089,0.035095212,0.00157268
2006,,enero,,0.006618021,0.040827046,0.790571497,0.179013517,,0.042718163,0.040369544,0.003279743
2006,,febrero,,-0.001012658,0.042406086,0.564005949,0.160602602,,0.03993799,0.039074674,0.004870234
2006,2006T1,marzo,0.098965056,0.003893629,0.052340409,0.797478087,0.177326188,,0.035141375,0.032428087,0.006412097
2006,,abril,,0.037122778,0.046427891,0.788377038,0.159754083,,0.030730897,0.025405677,0.005128695
2006,,mayo,,0.019,0.049811744,0.605303135,0.153026283,,0.025070316,0.023713778,0.005941223
2006,2006T2,junio,0.05275391,-0.001001586,0.050407467,0.320641283,0.117336266,,0.026427185,0.022142352,0.009430667
2006,,julio,,0.006595637,0.059566197,0.784130284,0.170284547,,0.027740013,0.022406923,0.011562351
2006,,agosto,,0.005920663,0.058087534,0.51238911,0.141846816,,0.037507203,0.031400198,0.015348852
2006,2006T3,septiembre,0.053270801,0.01682243,0.05622032,0.391445587,0.131006169,,0.043247943,0.04166346,0.015560364
2006,,octubre,,0.016446253,0.053214109,0.157037983,0.073729351,,0.040650915,0.046414509,0.018511438
2006,,noviembre,,0.036576073,0.052190472,0.191581432,0.061914135,,0.036058393,0.044481895,0.018579305
2006,2006T4,diciembre,0.043055349,0.020746888,0.054591852,0.148909501,0.047697117,,0.031841973,0.047375191,0.019611613
2007,,enero,,0.027309508,0.050262077,0.065517474,0.047728233,,0.031588656,0.050304472,0.020639703
