ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,INPC3,PATRON
2004,,enero,,-0.017639558,-0.000701183,0.801886792,0.038444809,0.035663725,0.032384557,0.052702282,-0.017526072
2004,,febrero,,-0.022574004,-0.001539064,1.069306931,0.08792261,0.035911228,0.03600731,0.056331607,-0.022230563
2004,2004T1,marzo,0.020644006,-0.022337257,0.000174442,2.086956522,0.198537992,0.033667891,0.03514186,0.053705994,-0.022469968
2004,,abril,,-0.031038656,0.007980011,2.494505495,0.216821465,0.039031931,0.03937959,0.051006286,-0.019743308
2004,,mayo,,-0.023310859,0.015761556,1.306818182,0.216322762,0.033385257,0.052448676,0.04779634,-0.017500145
2004,2004T2,junio,0.08558405,-0.023737592,0.019839181,0.304093567,0.121725682,0.039353282,0.052637718,0.044425553,-0.015642231
2004,,julio,,-0.020169394,0.015043112,3.114671164,0.036609845,0.043046166,0.047985185,0.045655699,-0.017058994
2004,,agosto,,-0.011986793,0.017036039,5.273615635,0.051213096,0.045977893,0.041831006,0.046680439,-0.01505796
2004,2004T3,septiembre,0.05956955,-0.012441012,0.007752534,10.35434783,0.044659165,0.051844438,0.038781795,0.045740671,-0.02027714
2004,,octubre,,-0.012409956,0.002285692,3.6,0.013007445,0.047693777,0.04534077,0.052335095,-0.023693927
2004,,noviembre,,-0.003865149,0.008157667,3.855319149,0.016946739,0.047844147,0.049097931,0.053100659,-0.021311332
2004,2004T4,diciembre,0.016565126,0.000504468,0.012373962,1.3138833,0.029386726,0.046948885,0.046757321,0.055514475,-0.022079144
2005,,enero,,-0.008581524,0.019879613,9.293193717,0.055580616,0.047636881,0.040514749,0.042120545,-0.023971694
2005,,febrero,,-0.00588278,0.023455721,9.105263158,0.020302874,0.04708717,0.037317494,0.036724124,-0.021879706
2005,2005T1,marzo,0.043510164,-0.008921448,0.024187374,5.433098592,-0.066345961,0.050386621,0.037954872,0.038966874,-0.023841099
2005,,abril,,0.005510249,0.023134691,4.603773585,-0.02072202,0.053447394,0.045018828,0.042879482,-0.021526938
2005,,mayo,,0.045384446,0.027952446,14.55172414,-0.017431675,0.049790639,0.02649907,0.04584501,-0.020878797
2005,2005T2,junio,0.006679899,0.047597996,0.034348743,4.843049327,0.010627603,0.050567902,0.022920361,0.045800829,-0.021227041
2005,,julio,,0.04234122,0.035736483,0.242622951,0.014652756,0.048701898,0.024998844,0.050721928,-0.021050764
2005,,agosto,,0.033636033,0.04574135,0.280893043,0.028113008,0.04644065,0.02190413,0.042407562,-0.019428098
