año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,INPC3,INPC4,PATRON
2004,,enero,,-0.019379258,-0.028530256,1.56122449,-0.030872835,0.033490201,0.037368517,,0.039761719,-0.037275546
2004,,febrero,,-0.032653061,-0.020672231,0.824427481,-0.032159222,0.036560338,0.044860803,,0.040955991,-0.032047336
2004,2004T1,marzo,0.025412696,-0.025506377,-0.0096786,1.375,0.054391942,0.026933362,0.036826601,,0.0406556,-0.028274728
2004,,abril,,-0.029433849,-0.00045464,1.796747967,0.060723287,0.030621325,0.039537678,,0.033226304,-0.026713364
2004,,mayo,,-0.010070186,0.008370822,2.266055046,0.056128258,0.040491923,0.040291758,,0.036846196,-0.024523161
2004,2004T2,junio,0.042371098,-0.003378378,0.011723691,0.122727273,0.043621547,0.041509734,0.037496602,,0.032804576,-0.021262597
2004,,julio,,0.014714994,0.011767653,9.155339806,0.005690543,0.036486018,0.035708407,,0.02846782,-0.018865951
2004,,agosto,,0.003400309,0.024131453,7.515873016,0.033458669,0.03800081,0.042003043,,0.035652696,-0.016555828
2004,2004T3,septiembre,0.02535002,0.006059664,0.023712198,2.445434298,0.067072053,0.033209068,0.051808947,,0.047007205,-0.01763471
2004,,octubre,,0.0104459,0.023269619,1.147196262,0.046693735,0.050937863,0.048098876,,0.051307828,-0.02034975
2004,,noviembre,,0.008890969,0.026548772,1.573883162,0.059167405,0.056470408,0.04397063,,0.051555448,-0.013943523
2004,2004T4,diciembre,0.011746958,-0.008490275,0.021041928,0.9125,0.077200778,0.053966215,0.044598557,,0.053463111,-0.012807395
2005,,enero,,0.040759611,0.022795735,1.330677291,0.062148422,0.038624659,0.033332096,,0.045852338,-0.010652982
2005,,febrero,,0.0470386,0.025440776,1.460251046,0.05977519,0.036628483,0.030608388,,0.039408958,-0.012190382
2005,2005T1,marzo,0.004150101,0.038645112,0.008684294,2.303643725,0.044786603,0.035599131,0.030369621,,0.03921389,-0.013331923
2005,,abril,,0.053226056,0.003855047,2.927325581,0.049179422,0.046941572,0.034502055,,0.046229157,-0.010795174
2005,,mayo,,0.262792848,0.002438045,4.016853933,0.033128405,0.033830121,0.035421808,,0.045883191,-0.008379888
2005,2005T2,junio,0.028335164,0.260862866,0.004613779,7.190283401,0.017052305,0.025810084,0.033249733,,0.043996079,-0.010614584
2005,,julio,,0.250954053,0.003755751,0.315487572,0.03829112,0.033979238,0.037571633,,0.04619784,-0.006682069
2005,,agosto,,0.27711029,0.008813499,0.168219944,0.056962565,0.030701462,0.031408986,,0.038151225,-0.002028686
2005,2005T3,septiembre,0.026243325,0.318610039,0.009884785,0.833225598,0.079808711,0.031403002,0.023927461,,0.030215984,-0.001210999
2005,,octubre,,0.28251813,0.009242324,1.674646355,0.077472984,0.023972282,0.022113971,,0.02087468,-7.13E-05
2005,,noviembre,,0.305813234,0.004821126,1.481975968,0.123487763,0.027080024,0.024508345,,0.021976752,-0.000106857
2005,2005T4,diciembre,0.038252007,0.291919664,0.006794089,0.032679739,0.089140958,0.035975804,0.027428438,,0.027195337,-0.000214439
2006,,enero,,0.227117638,0.000807702,0.271794872,0.1677476,0.039567231,0.029788036,,0.035837751,0.002039064
2006,,febrero,,0.243432836,-0.00090656,0.459183673,0.194096528,0.040009095,0.029269951,,0.037313235,0.003255115
2006,2006T1,marzo,0.072870512,0.253187074,0.010664173,0.365196078,0.153099368,0.0346931,0.025824759,,0.031130703,0.010366399
2006,,abril,,0.241662994,0.013333126,0.138415988,0.15665982,0.031256723,0.020218322,,0.027372295,0.008808845
2006,,mayo,,0.04149884,0.019552084,0.004479283,0.257487732,0.027182775,0.019294492,,0.023846392,0.010376181
2006,2006T2,junio,0.058996197,0.049248442,0.021764981,0.207118141,0.306057356,0.03493661,0.024146145,,0.030176079,0.016593356
2006,,julio,,0.053081147,0.031424489,0.42005814,0.253971915,0.026489577,0.022299708,,0.027359817,0.019966365
2006,,agosto,,0.051984079,0.024921341,0.717989629,0.197821702,0.027128563,0.036196728,,0.036394733,0.020506419
2006,2006T3,septiembre,0.044543448,0.033380183,0.023162737,0.353314528,0.164898695,0.027912699,0.043151209,,0.041550489,0.022323657
2006,,octubre,,0.051010587,0.022830589,0.550040683,0.178573265,0.014156379,0.04436811,,0.050518707,0.026688997
2006,,noviembre,,0.037650959,0.025823404,0.157073696,0.112495038,0.013028337,0.04299457,,0.042530065,0.030314905
2006,2006T4,diciembre,0.0146875,0.027355989,0.026134987,1.102848101,0.105094285,0.016243744,0.04269291,,0.04116181,0.030707085
2007,,enero,,0.040860735,0.037184509,0.532258065,-0.008779589,0.021709205,0.043616233,,0.045645533,0.028631609
2007,,febrero,,0.033009243,0.042400726,0.562937063,-0.019738805,0.01721047,0.043229995,,0.046912443,0.032873391
2007,2007T1,marzo,-0.003038498,0.051218358,0.04081978,0.89497307,0.004407855,0.0335123,0.046478248,,0.051643353,0.027454449
2007,,abril,,0.047444392,0.039964054,1.029258778,-0.016597227,-0.007727277,0.023381342,,0.03662988,0.027114929
2007,,mayo,,0.034806047,0.034989853,1.063545151,-0.038508119,0.030350861,0.037229614,,0.049580849,0.027844438
2007,2007T2,junio,0.032660434,0.033193571,0.032258694,0.648239148,-0.069136176,0.025317935,0.035453717,,0.047897447,0.02684068
2007,,julio,,0.034994206,0.029598928,0.216990788,-0.021246752,0.028784293,0.037747988,,0.059763049,0.025644624
2007,,agosto,,0.028663151,0.032052567,0.181332714,0.008935587,0.026097506,0.027743934,,0.056834797,0.024602481
2007,2007T3,septiembre,0.055294043,0.041255809,0.027022903,-0.04950495,0.054751172,0.025502229,0.027531413,,0.052337747,0.024138412
2007,,octubre,,0.073489011,0.035068791,0.025721785,0.054091207,0.075312449,0.051059067,,0.060656275,0.024259883
2007,,noviembre,,0.069488818,0.035387283,0.422594142,0.026785316,0.048057795,0.03102005,,0.057143095,0.0216091
2007,2007T4,diciembre,0.080644451,0.08856305,0.036196017,0.80662152,0.010328661,0.042483152,0.028013133,,0.058891742,0.021537821
2008,,enero,,0.080720093,0.027795093,0.785087719,0.101590409,0.040144513,0.025520433,,0.052016924,0.021448652
2008,,febrero,,0.091680223,0.020248628,0.554064131,0.094055117,0.04405203,0.026351087,,0.046488327,0.016603956
2008,2008T1,marzo,0.052296323,0.055361764,0.0170829,0.270014211,0.028142197,0.038291118,0.030041563,,0.051765911,0.013842499
2008,,abril,,0.066982944,0.017280407,0.092278116,0.051905357,0.042747771,0.033310967,,0.062378136,0.014903284
2008,,mayo,,0.082559456,0.013149478,-0.034575905,0.040120361,0.04971331,0.043382836,,0.06803791,0.017373391
