ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,INPC2,INPC3,INPC4,PATRON
2004,,enero,,-0.069546961,0.018944049,0.147830018,-0.094136887,,0.048092708,0.050465629,0.051492943,-0.005575697
2004,,febrero,,-0.070232929,0.017616897,0.060821485,-0.113308495,,0.051040889,0.051355165,0.056859875,-0.005793193
2004,2004T1,marzo,0.084578813,-0.06336957,0.021304149,0.034604645,-0.097860595,,0.048416468,0.049472675,0.057760846,0.000623472
2004,,abril,,-0.062944595,0.02168944,0.139872046,-0.114396621,,0.046585607,0.053877261,0.060917037,-0.003102815
2004,,mayo,,-0.062992482,0.021445059,0.132814527,-0.084790115,,0.039649885,0.048850054,0.060402113,-0.002507697
2004,2004T2,junio,0.044900986,-0.059056192,0.018428,-0.109044801,-0.070287497,,0.041552145,0.049222402,0.061368333,-0.006577809
2004,,julio,,-0.000786501,0.018021349,-0.138276553,-0.03671533,,0.046262971,0.051844941,0.061477106,-0.011218779
2004,,agosto,,-0.006695793,0.019304324,-0.049009901,-0.022916156,,0.049750252,0.052619151,0.06097002,-0.009797631
2004,2004T3,septiembre,0.02352438,-0.005393461,0.017412109,-0.018436811,-0.033281952,,0.055235632,0.057870044,0.063966242,-0.012676022
2004,,octubre,,-0.013320737,0.0149185,-0.075974258,-0.05691162,,0.056621547,0.054744661,0.066272146,-0.015042415
2004,,noviembre,,-0.010341482,0.018358282,0.649217884,-0.043982847,,0.057136155,0.052604727,0.069224071,-0.007873038
2004,2004T4,diciembre,0.044412498,-0.010355696,0.014996199,0.320748714,-0.025258091,,0.057025318,0.045558547,0.069140012,-0.010642827
2005,,enero,,-0.010403059,0.016263881,0.052919904,-0.032899154,,0.048100984,0.044638587,0.063446026,-0.009680177
2005,,febrero,,-0.010335302,0.017327824,0.016685846,-0.046017622,,0.048322371,0.045886236,0.057155448,-0.005801833
2005,2005T1,marzo,-0.040058951,-0.009887039,0.011438854,-0.082097711,-0.051178558,,0.048570011,0.044801754,0.056581852,-0.008947486
2005,,abril,,-0.011063748,0.013038546,0.026524238,-0.021657857,,0.049281784,0.043311823,0.044752035,-0.003934165
2005,,mayo,,-0.008867256,0.022706616,0.10373254,0.010876934,,0.052456553,0.047884531,0.046204797,-0.001269446
2005,2005T2,junio,0.01175062,-0.009977291,0.024561912,-0.267741935,0.031530685,,0.053244516,0.049732197,0.042218212,-0.000821447
2005,,julio,,-0.002528324,0.030567051,-0.132980973,0.008720807,,0.053469593,0.052095212,0.042542445,-0.000448855
2005,,agosto,,4.7808E-05,0.030562995,-0.269130661,0.058620113,,0.044931928,0.044012742,0.041658217,0.00022431
2005,2005T3,septiembre,0.018773929,-0.000692769,0.033322747,-0.212875261,0.052064557,,0.03788726,0.039115132,0.037267406,0.003671787
2005,,octubre,,-0.000957488,0.034241252,-0.210679048,0.064787651,,0.035008737,0.036785018,0.04233169,0.006183967
