año,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,-0.063631377,-0.020610134,0.142857143,0.075140092,0.038223923,-0.014624438
2004,,febrero,,-0.072170585,-0.023263795,0,0.142582853,0.036211942,-0.01281941
2004,2004T1,marzo,0.067618192,-0.079304726,-0.013074663,-0.25,0.22010591,0.035248681,-0.01950507
2004,,abril,,-0.081610446,0.003667645,0,0.25275767,0.038994386,-0.013606032
2004,,mayo,,-0.07755325,0.018884453,-0.285714286,0.187064763,0.041066957,-0.010892297
2004,2004T2,junio,0.046358598,-0.059250978,0.033333333,-0.142857143,0.160805679,0.040636531,-0.010545581
2004,,julio,,-0.050654525,0.043796166,1.285714286,0.090359016,0.042583987,-0.016393443
2004,,agosto,,-0.052812859,0.061925406,2.428571429,0.011408033,0.049979481,-0.012326252
2004,2004T3,septiembre,0.037781104,-0.040308239,0.053608078,3.714285714,0.004220753,0.054255309,-0.012377107
2004,,octubre,,-0.029498525,0.037411123,24.85714286,-0.061594744,0.056287595,-0.016406318
2004,,noviembre,,-0.029638411,0.041900581,12.28571429,-0.074294421,0.060443301,-0.014567341
2004,2004T4,diciembre,-0.004820638,-0.023283582,0.039572838,2.857142857,-0.082459818,0.060693369,-0.012722646
2005,,enero,,-0.048037493,0.035516161,1.875,-0.108663034,0.052666049,-0.014402389
2005,,febrero,,-0.037713612,0.039534318,2.5,-0.164170381,0.053527844,-0.019783859
2005,2005T1,marzo,-0.040653564,-0.033628319,0.035834965,2.5,-0.181659083,0.054798716,-0.015949522
2005,,abril,,-0.033767773,0.034064182,1.857142857,-0.191648896,0.05651765,-0.01019153
2005,,mayo,,-0.02723505,0.031129196,4.4,-0.180024932,0.056476118,-0.010307462
2005,2005T2,junio,-0.013052927,-0.02020202,0.030041216,4,-0.131346892,0.051849409,-0.010393729
2005,,julio,,-0.011390887,0.023031344,3.625,-0.091601924,0.051795631,-0.005939716
2005,,agosto,,-0.001212121,0.016530693,16.41666667,-0.059487021,0.045609889,-0.007346433
2005,2005T3,septiembre,-0.028246786,0.025324274,0.014466781,6.363636364,-0.025059477,0.041026196,-0.001244334
2005,,octubre,,0.028571429,0.021721977,0.640883978,0.075184979,0.037979678,0.004081271
2005,,noviembre,,0.054978619,0.007077214,1.774193548,0.051101183,0.031022614,0.004868549
2005,2005T4,diciembre,0.003272534,0.055623472,0.001267561,4.925925926,0.039942456,0.033190711,0.001244223
2006,,enero,,0.060307692,0.00047809,3.391304348,0.070878001,0.038325482,0.008999376
2006,,febrero,,0.055725658,-0.005154405,3.095238095,0.118356643,0.038665353,0.007913221
2006,2006T1,marzo,0.04651113,0.064713065,0.003255642,3.523809524,0.073310522,0.030317694,0.011131891
2006,,abril,,0.085223789,-0.000122079,2.7,0.132244064,0.026891152,0.008876265
2006,,mayo,,0.071819842,0.002877002,6.259259259,0.215435521,0.024964591,0.017625067
2006,2006T2,junio,0.033087005,0.032747119,-0.002082768,11.33333333,0.179287761,0.028074424,0.021895861
2006,,julio,,0.026682838,0.002301511,3.189189189,0.202655372,0.027509791,0.024168376
2006,,agosto,,0.043082524,0.00411806,0.112440191,0.183505832,0.034562492,0.024699064
2006,2006T3,septiembre,0.03440798,0.034939759,0.005638905,0.378600823,0.133479746,0.037061107,0.022603898
2006,,octubre,,0.035460993,0.00377845,0.239057239,0.055498002,0.0386463,0.025713528
2006,,noviembre,,-0.009264621,0.0019705,0.201550388,0.107374543,0.042543439,0.026338971
2006,2006T4,diciembre,0.034099383,-0.016213086,0.006745174,0.01875,0.122629994,0.038301931,0.025652405
2007,,enero,,-0.010446895,0.007259564,0.524752475,0.123686605,0.043056958,0.021900389
