ano,periodo,mes,ITAEE,CPTPC,CPTPU,CPTEC,CPTEU,INPC,PATRON
2004,,enero,,0.003816794,0.033588294,6.245614035,0.105079257,0.045363157,-0.004696887
2004,,febrero,,0.003205128,0.034170824,2.75862069,0.119903878,0.042728722,-0.008346883
2004,2004T1,marzo,-0.014197933,0.013367282,0.044987204,20.54385965,0.168715353,0.033996818,-0.006917423
2004,,abril,,0.015238095,0.056357316,17.36206897,0.150564422,0.036336131,-0.010567177
2004,,mayo,,0.047133758,0.056608314,3.706896552,0.127888476,0.044433234,-0.009898859
2004,2004T2,junio,0.113299163,0.029709229,0.060367177,2.9453125,0.163885229,0.044098536,0.002377607
2004,,julio,,0.081336696,0.065294954,3.322916667,0.101828761,0.04799132,0.006633319
2004,,agosto,,0.150943396,0.067157049,11.35849057,0.160205641,0.052083938,0.007754478
2004,2004T3,septiembre,0.070125799,0.140373471,0.063638411,7.107954545,0.182786829,0.058230099,0.009461664
2004,,octubre,,0.138284251,0.055905489,8.344036697,0.205630693,0.055237512,0.012506797
2004,,noviembre,,0.124133585,0.06809558,10.81132075,0.244500407,0.052219812,0.01319808
2004,2004T4,diciembre,0.117395266,0.102515723,0.061002306,28.40229885,0.214164976,0.042913466,0.01590959
2005,,enero,,0.098225602,0.068810694,4.06779661,0.154160561,0.035618186,0.021839333
2005,,febrero,,0.124600639,0.075092267,7.894495413,0.144506104,0.033296184,0.02240927
2005,2005T1,marzo,0.181245757,0.113693467,0.074328679,0.714983713,0.047707431,0.03686912,0.02100566
2005,,abril,,0.114446529,0.075830532,1.20657277,0.059273293,0.041837662,0.026700087
2005,,mayo,,0.102798054,0.080548281,9.142857143,0.043998119,0.038279334,0.031188872
2005,2005T2,junio,0.06010159,0.120933088,0.085985586,4.376237624,0.042324382,0.038910614,0.031374663
2005,,julio,,0.04664723,0.089661534,3.192771084,0.0498554,0.036448175,0.031219618
2005,,agosto,,0.01017524,0.098489263,3.041221374,0.016826347,0.036508695,0.038365666
2005,2005T3,septiembre,0.042741715,0.034443817,0.096028687,1.360196216,0.008020458,0.030206735,0.033290239
2005,,octubre,,0.023622047,0.105947096,1.211094747,-0.012820513,0.026753638,0.03179377
2005,,noviembre,,0.00896861,0.099170153,1.031549521,0.030294013,0.031919167,0.03703305
2005,2005T4,diciembre,0.019254416,0.01711352,0.097879013,0.799452697,0.06313518,0.036529151,0.036289016
2006,,enero,,-0.000577034,0.100162833,1.097945533,0.140718963,0.040339646,0.03544195
