año,periodo,mes,TIIE28,Act Primaria,Mineria ,Energia,Construccion,Manufactura,Comercio mayor,Comercio menor,Transporte,Serv financiero,Serv profesionales,Serv educativos,Serv esparcimiento,Serv alojamiento,Act guber,IPC,IMAI
2004,,enero,-0.41356674,0.111766457,0.035461099,0.106821986,0.092575581,0.020626529,-0.007115369,-0.022779899,0.044229692,0.049264516,0.007518286,0.008710121,-0.005089833,0.010583671,-0.019628355,0.583509535,0.038237814
2004,,febrero,-0.415741675,0.087796043,0.019613051,0.103202758,0.006654202,0.005563972,0.015686459,-0.004500357,0.04199572,0.051207075,0.043187988,0.001939348,0.007492851,0.010086441,-0.026213475,0.685793631,0.014732038
2004,2004T1,marzo,-0.348393574,0.039947772,0.016072702,0.124301223,0.083952209,0.041679167,0.058612131,0.049771652,0.05951985,0.056929298,0.016036544,0.015742694,0.028781038,0.006388551,0.006247691,0.778398148,0.046262989
2004,,abril,-0.280885781,0.026678003,0.045875307,0.115665381,0.080148825,0.028559336,0.036247298,0.017921155,0.046112186,0.066021101,0.042547558,0.008311158,-0.003600565,0.025907089,-0.001089251,0.528158737,0.045437281
2004,,mayo,0.173986486,0.036193071,0.026745478,0.097796213,0.077486839,0.034236498,0.085161637,0.056865142,0.049780888,0.06968119,0.056365572,0.02216652,-0.008765011,0.023114301,-0.026994838,0.498137085,0.043385422
2004,2004T2,junio,0.212435233,-0.028980576,0.024344767,0.104605497,0.070425775,0.0246278,0.061016638,0.045843457,0.051619478,0.075450689,0.049668566,0.007946178,0.026973752,0.035428257,-0.003035904,0.457382647,0.037123142
2004,,julio,0.341509434,-0.041688907,-0.002971442,0.102530576,0.066865128,0.03407356,0.057746107,0.03045389,0.056694284,0.058672116,0.029915278,0.003240646,0.01603065,0.047795221,-0.011488404,0.375430825,0.032014979
2004,,agosto,0.509054326,-0.026223294,-0.005287019,0.121140623,0.047298191,0.0462564,0.090104635,0.069895274,0.06305578,0.062199346,0.01957631,0.009081889,0.035916161,0.052299601,0.004102109,0.352094865,0.034063839
2004,2004T3,septiembre,0.540594059,-0.026907101,0.020028727,0.126711174,0.079517563,0.037726485,0.056056446,0.037796706,0.057215113,0.053709654,0.035850751,0.010794328,0.035283094,0.05464686,0.015633884,0.400753981,0.042604672
2004,,octubre,0.4375,0.063622357,0.020158791,0.129161119,0.057439857,0.039172584,0.075466944,0.042133218,0.053962354,0.043804646,0.030127483,0.009825009,0.042909586,0.0671706,0.020075891,0.433923592,0.042815912
2004,,noviembre,0.607476636,0.042252794,0.00690646,0.110060256,0.11044993,0.032823108,0.09446185,0.083467267,0.060307981,0.038104196,0.033405885,0.014282971,0.054857868,0.034691618,0.01889664,0.414761622,0.041721753
2004,2004T4,diciembre,0.3953125,0.023272802,-0.04153238,0.122556172,0.057032242,0.036101239,0.067757344,0.046897111,0.048802925,0.035369401,0.052525888,0.006300907,0.050973701,0.050963308,0.003489029,0.468728682,0.025052068
2005,,enero,0.673507463,-0.080283737,0.003078373,0.087840605,0.028724436,0.037307661,0.079349745,0.065179342,0.039279368,0.031470479,-0.029763908,0.031193334,0.037407751,0.031511858,-0.00730756,0.38905923,0.025638487
2005,,febrero,0.635578584,-0.03835382,0.007191983,0.091547445,0.029255622,0.040854467,0.060287475,0.05721646,0.052827916,0.028172095,-0.008473845,0.023205727,0.034792941,0.02873446,0.009135923,0.380077664,0.028564196
2005,2005T1,marzo,0.506933744,-0.044882997,-0.007203831,0.062156796,0.019260153,0.010506661,0.029593132,0.0112341,0.029659203,0.017836697,0.02213202,0.0161066,0.012632751,0.042639147,-0.018220245,0.205314951,0.009623879
2005,,abril,0.622366288,-0.011160482,-0.000126816,0.077322796,0.011446647,0.019509646,0.0664237,0.063118348,0.046368718,0.013940334,-0.010706999,0.020091047,0.028898684,0.015078715,-0.021813175,0.238724263,0.014542246
2005,,mayo,0.456115108,-0.019765097,0.028153165,0.093520596,0.034086673,0.028487062,0.039376155,0.032160806,0.047925229,0.009237608,0.01955037,0.008630334,0.049881558,0.025800632,-0.015297295,0.291751235,0.032222957
2005,2005T2,junio,0.425925926,-0.130768622,0.01752829,0.103901867,0.025974375,0.001329424,0.022810245,0.014764682,0.028893334,-0.005202271,0.050293948,0.021838396,0.019597194,0.025399223,-0.016406859,0.311648132,0.013070743
2005,,julio,0.407876231,0.085886575,-0.049428208,0.101428995,0.023453978,0.004737386,0.050147268,0.036775189,0.029819016,0.006922896,0.089807232,0.01343877,0.01755976,0.027214386,0.005366662,0.424387553,-0.002704155
2005,,agosto,0.330666667,0.059934832,0.043391683,0.077210215,0.047666964,0.009459714,0.041396909,0.03327173,0.03213999,0.00223785,0.103516648,0.009950959,0.033837097,0.031740846,0.008175273,0.387640876,0.028757762
2005,2005T3,septiembre,0.240359897,0.005921522,-0.007694882,0.078293291,0.038139653,0.022290639,0.069098638,0.050223094,0.042842973,0.009533917,0.041745296,0.024733346,0.027332574,0.044700413,0.051717063,0.471163244,0.019948344
2005,,octubre,0.168944099,-0.03917056,-0.040249421,0.07961715,0.033984269,0.036388671,0.057022502,0.045790359,0.044665543,0.021681891,0.056381767,0.021420465,0.036588496,-0.014263708,0.041781462,0.36278563,0.017874678
2005,,noviembre,0.06627907,-0.071512796,0.006342965,0.087011442,0.047966817,0.044200615,0.05225382,0.035668015,0.040512807,0.017481461,0.061533048,0.021335615,0.028376787,-0.036333974,0.013311396,0.390695349,0.036008558
2005,2005T4,diciembre,-0.023516237,-0.087395292,0.062543879,0.063811585,0.072179964,0.040501734,0.079093843,0.056919141,0.046499199,0.017773114,0.028745027,0.031863893,0.021273131,-0.011806269,0.031503361,0.378144866,0.054742077
2006,,enero,-0.062430323,0.110291106,0.01768205,0.075399768,0.024342062,0.062073284,0.11556401,0.099492991,0.056283116,0.032452543,0.075474861,0.004093422,0.046945992,-0.003156203,0.053640839,0.44360745,0.042557449
2006,,febrero,-0.158394931,-0.002420829,0.001984809,0.0838648,0.052496066,0.044636507,0.079415995,0.056334639,0.045193195,0.034234398,0.055949651,0.026537417,0.036314412,0.002802953,0.078325711,0.356566537,0.034313147
2006,2006T1,marzo,-0.214723926,0.012111159,0.0241979,0.096522928,0.069617211,0.047592643,0.079256135,0.05848322,0.057595321,0.047586225,-0.017786965,0.022504501,0.043248567,0.020795562,0.056969477,0.520295183,0.045598334
2006,,abril,-0.24975025,0.01918634,-0.002873867,0.104924425,0.082821967,0.047108973,0.073649139,0.035118963,0.05531303,0.049685199,0.056393062,0.026762528,0.045006794,0.01653036,0.032963265,0.675420495,0.045059129
2006,,mayo,-0.276679842,0.065445216,-0.027699384,0.114099717,0.082317543,0.054949026,0.090245077,0.061491306,0.065366195,0.064240247,0.024495199,0.027104011,0.04634906,0.012965578,0.092087545,0.440709513,0.03994868
2006,2006T2,junio,-0.267732268,0.18765837,-0.040324866,0.111694268,0.088669153,0.079623703,0.099250966,0.062799064,0.075263291,0.060596892,0.010265248,0.032475833,0.051802588,0.001622097,0.037366756,0.419767569,0.052108847
